,agglo_seg,x,y,z,type,layer,linfo,info,include
0,3195297945,2079128,1323232,42240,pyram,5,4,L4pyramidalneuron,True
1,4519199338,2090464,1369448,30720,pyram,5,4,L4pyramidalneuron,True
2,4475878153,2054304,1372584,42240,pyram,5,5,L5pyramidalneuron,True
3,3253775599,2037400,1313760,38400,pyram,5,4,L4pyramidalneuron,True
4,3719255305,2066464,1284832,46080,pyram,4,4,L4pyramidalneuron,True
5,3995127189,2074016,1261728,53760,pyram,4,4,L4pyramidalneuron,True
6,4024562049,2050520,1260960,66261,pyram,4,4,L4pyramidalneuron,True
7,3384366153,2089376,1248168,62037,pyram,4,4,L4pyramidalneuron,True
8,4388695609,2090208,1336608,0,excit,5,4,L4neuronexcitatory/spiny-with-atypical-treethin-apical-dendrite,True
9,3937700015,2064736,1328808,15360,pyram,5,4,L4pyramidalneuron,True
10,3762956144,2024224,1333032,3840,pyram,5,5,L5pyramidalneuronsparsely-spiny,True
11,4359304926,2019680,1346408,7680,inter,5,5,L5neuroninterneuron,True
12,3878434784,2053528,1305248,87381,pyram,5,4,L4pyramidalneuron,True
13,4024459359,2068640,1282592,83157,pyram,4,4,L4pyramidalneuron,True
14,3995111605,2032856,1259808,74709,pyram,4,4,L4pyramidalneuron,True
15,3863191076,2017944,1273376,87381,pyram,5,4,L4pyramidalneuron,True
16,3994775522,2037336,1272928,87381,excit,4,4,L4neuronexcitatory/spiny-with-atypical-treethin-apical-dendrite,True
17,3864652151,2016600,1275616,74709,pyram,5,4,L4pyramidalneuronsparsely-spiny,True
18,3805999426,2059544,1233376,83157,pyram,4,4,L4pyramidalneuron,True
19,3268682905,2008408,1329768,19200,pyram,5,5,L5pyramidalneuron,True
20,3995374513,2082592,1221928,74709,pyram,4,4,L4pyramidalneuron,True
21,4315764606,2073048,1231528,87381,pyram,4,4,L4pyramidalneuron,True
22,30533116499,2057240,1247008,83157,inter,4,4,L4neuroninterneuronweb-like-interneuron,True
23,3733578438,2055192,1270688,66261,pyram,4,4,L4pyramidalneuron,True
24,3515833486,2091616,1271592,70485,pyram,4,4,L4pyramidalneuron,True
25,4359523070,2089376,1258016,74709,pyram,4,4,L4pyramidalneuronsparsely-spiny,True
26,3907899917,1975824,1249704,74709,pyram,5,4,L4pyramidalneuron,True
27,30488947824,1996760,1246280,87381,pyram,4,4,L4pyramidalneuronsparsely-spiny,True
28,4227559344,2002416,1278800,95829,pyram,5,4,L4pyramidalneuron,True
29,4446341214,2004576,1298056,95829,pyram,5,4,L4pyramidalneuron,True
30,3907840855,1988864,1276760,78933,pyram,5,4,L4pyramidalneuronbipolar,True
31,2889815798,2004040,1295288,30720,inter,5,4,L4neuroninterneuron,True
32,3704683200,2018272,1273032,23040,pyram,5,4,L4pyramidalneuronsparsely-spiny,True
33,3995302320,1996304,1251360,30720,pyram,5,4,L4pyramidalneuron,True
34,3237699645,1967952,1270072,30720,pyram,5,4,L4pyramidalneuronsparsely-spiny,True
35,4096938971,1974416,1258680,57813,pyram,5,4,L4pyramidalneuron,True
36,30605740749,2024120,1253608,116949,pyram,4,4,L4pyramidalneuronsparsely-spiny,True
37,4067927598,1966912,1275496,62037,pyram,5,4,L4pyramidalneuron,True
38,30693173072,2020232,1274568,62037,inter,5,4,L4neuroninterneuron,True
39,3297578604,2005912,1279136,19200,inter,5,4,L4neuroninterneuron,True
40,4213557888,1993864,1291152,146517,pyram,5,4,L4pyramidalneuronsparsely-spiny,True
41,4169360004,2006928,1262800,138069,pyram,5,4,L4pyramidalneuron,True
42,4140858954,2020376,1256992,138069,spiny,4,4,L4neuronspiny-stellate,True
43,4621231400,1982384,1307520,154965,pyram,5,5,L5pyramidalneuronsparsely-spiny,True
44,31071892412,2000720,1280416,163413,uncla,5,4,L4neuronunclassified-neuronsparsely-spiny,True
45,4257184385,2028528,1294024,159189,pyram,5,4,L4pyramidalneuronsparsely-spiny,True
46,30984316968,1997224,1258776,154965,uncla,5,4,L4neuronexcitatory/spiny-with-atypical-treethin-apical-dendrite,True
47,4067795964,2017736,1261736,0,uncla,4,4,L4neuronexcitatory/spiny-with-atypical-treesparsely-spiny,True
48,3442857593,2029560,1271736,3840,uncla,4,4,L4neuronexcitatory/spiny-with-atypical-treethin-apical-dendrite,True
49,3369414928,1989368,1221896,78933,pyram,4,4,L4pyramidalneuron,True
50,30372987746,2023088,1223504,78933,pyram,4,4,L4pyramidalneuronsparsely-spiny,True
51,4897818205,2024336,1460104,78933,pyram,5,5,L5pyramidalneuronsparsely-spiny,True
52,4752026882,2009800,1488512,78933,inter,5,5,L5neuroninterneuron,True
53,5712947894,2013424,1647528,78933,inter,5,5,L5neuroninterneuron,True
54,4913382520,1977616,1637032,78933,pyram,5,5,L5pyramidalneuronbipolar,True
55,4592526340,2003632,1631920,53760,pyram,5,5,L5pyramidalneuronbipolar,True
56,5159993420,2027936,1613656,70485,pyram,5,5,L5pyramidalneuronbipolar,True
57,5086550398,2004712,1549296,104277,pyram,5,5,L5pyramidalneuron,True
58,4942702467,2080808,1567352,116949,pyram,5,5,L5pyramidalneuron,True
59,4709888554,1976128,1721000,78933,pyram,5,5,L5pyramidalneuron,True
60,4868836122,1941136,1512856,83157,pyram,5,5,L5pyramidalneuron,True
61,5261382769,1959688,1533624,66261,excit,5,5,L5neuronexcitatory/spiny-with-atypical-treeinverted-apical-dendrite,True
62,5159803735,1957760,1580888,78933,pyram,5,5,L5pyramidalneuronbipolar,True
63,6440984272,1932280,1671712,125397,pyram,5,5,L5pyramidalneuron,True
64,5799532727,1991776,1666616,129621,pyram,5,5,L5pyramidalneuron,True
65,5059058275,1996528,1648552,129621,pyram,5,5,L5pyramidalneuronsparsely-spiny,True
66,5843305646,2010416,1662712,138069,inter,5,5,L5neuroninterneuronsparsely-spiny,True
67,5901900994,2023720,1641168,150741,pyram,5,5,L5pyramidalneuron,True
68,6062248862,1985744,1634472,159189,uncla,5,5,L5neuronexcitatory/spiny-with-atypical-tree,True
69,40563185759,1967688,1667184,159189,uncla,5,5,L5neuronexcitatory/spiny-with-atypical-treesparsely-spiny,True
70,14752837392,2026416,1610920,163413,pyram,5,5,L5pyramidalneuronsparsely-spiny,True
71,85107842630,1973720,1612120,138069,pyram,5,5,L5pyramidalneurondark,True
72,5087280434,1975248,1578072,108501,pyram,5,5,L5pyramidalneuronbipolar,True
73,5174375994,1972576,1561056,87381,spiny,5,5,L5neuronspiny-stellate,True
74,4766773877,1983112,1531808,112725,spiny,5,5,L5neuronspiny-stellate,True
75,5348623756,1975176,1539080,138069,spiny,5,5,L5neuronspiny-stellate,True
76,5509088748,2027160,1540512,112725,pyram,5,5,L5pyramidalneuron,True
77,4897964007,2000360,1551624,70485,uncla,5,5,L5neuronspiny-stellate,True
78,4796545315,2033792,1540304,70485,pyram,5,5,L5pyramidalneuronbipolar,True
